SIG,Xksign,XEa1,XEa2,names,p.value.pettitt.aft.tend
0,201.544368501189,1996,1998,708,0.186081161426052
0,201.544368501189,1986,NA,762,0.528420337390674
0,201.544368501189,1995,NA,764,0.203180116091143
0,201.544368501189,1986,NA,779,0.235628516814711
0,201.544368501189,1986,NA,780,0.358117496377973
0,201.544368501189,1988,NA,786,0.107222073793565
0,201.544368501189,1988,NA,787,0.118674215642622
0,201.544368501189,2003,NA,788,0.63846103827256
0,201.544368501189,1974,NA,816,0.696717890156141
0,201.544368501189,1986,NA,878,0.173938490966618
0,201.544368501189,1988,NA,883,0.19880742152977
0,201.544368501189,1984,NA,889,0.370693696599653
0,201.544368501189,1974,NA,157414,0.450372916861307
0,201.544368501189,1993,NA,158310,0.151374492961341
0,201.544368501189,1977,NA,158326,0.409681907258641
