,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.03990068422796,0.804376968409214,ns,Ei,0.883967212169803,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.34824630975852,0.0221102195551521,s,Ei,0.0829133233318203,A,-1,-11
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.245154107303184,0.13252039870361,ns,Ei,0.283972282936308,A,-1,0
17,LAMPA,-70.372778,-15.355833,0.104124463171542,0.510380467074669,ns,Ei,0.677798570745572,A,1,0
10,CABANILLAS,-70.346389,-15.6393,-0.103975535242299,0.506994904804414,ns,Ei,0.677798570745572,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.276447935546139,0.0727292564223851,ns,Ei,0.218187769267155,A,-1,0
2,HUARAYA MOHO,-69.491389,-15.389722,-0.446554579619386,0.00342598162229292,s,Ei,0.0513897243343939,A,-1,-11
15,CAPACHICA,-69.8443,-15.6158,-0.113567660681985,0.503326218787224,ns,Ei,0.677798570745572,A,-1,0
21,TARACO,-69.9825,-15.305,0.0355400696864112,0.825036064691816,ns,Ei,0.883967212169803,A,1,0
23,MAZO CRUZ,-69.711667,-16.745556,-0.100612379297838,0.542238856596458,ns,Ei,0.677798570745572,A,-1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.251887647236484,0.103226640065343,ns,Ei,0.258066600163357,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.370486519799139,0.0171045735916326,s,Ei,0.0829133233318203,A,-1,-11
14,PUTINA,-69.868028,-14.914889,0.00139372822299652,0.993500715877174,ns,Ei,0.993500715877174,A,1,0
12,ICHUÑA,-70.53725,-16.14075,-0.103663051624965,0.518939239893437,ns,Ei,0.677798570745572,A,-1,0
22,CAPAZO,-69.745556,-17.186389,-0.367312211328093,0.0172314738987616,s,Ei,0.0829133233318203,A,-1,-11
71,PUNO,-70.018056,-15.823333,-0.141569021551168,0.377285315164413,ns,Ci,0.628808858607355,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.0513459433295302,0.743673815366442,ns,Ci,0.858085171576664,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,0.243230933051012,0.135681633260418,ns,Ci,0.547106172205342,A,1,0
171,LAMPA,-70.372778,-15.355833,0.0274694109067336,0.862689870212282,ns,Ci,0.918876037269696,A,1,0
101,CABANILLAS,-70.346389,-15.6393,-0.195190093392405,0.209719498530288,ns,Ci,0.547106172205342,A,-1,0
161,HUANCANE,-69.7625,-15.203333,0.204862947046346,0.187564513397881,ns,Ci,0.547106172205342,A,1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.0673403609141213,0.675706245406358,ns,Ci,0.844632806757947,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,0.150554205705763,0.373767601333603,ns,Ci,0.628808858607355,A,1,0
211,TARACO,-69.9825,-15.305,0.335714285714286,0.0324202381157709,s,Ci,0.486303571736563,A,1,11
231,MAZO CRUZ,-69.711667,-16.745556,-0.191507667637334,0.242846296566722,ns,Ci,0.547106172205342,A,-1,0
13,DESAGUADERO,-69.0404,-16.5688,0.0160072485653881,0.918876037269696,ns,Ci,0.918876037269696,A,1,0
41,LARAQUERI,-70.067778,-16.1525,-0.186680604733025,0.242532082411856,ns,Ci,0.547106172205342,A,-1,0
141,PUTINA,-69.868028,-14.914889,0.103658536585366,0.51764684895127,ns,Ci,0.705882066751732,A,1,0
121,ICHUÑA,-70.53725,-16.14075,0.111328890736727,0.48833065810385,ns,Ci,0.705882066751732,A,1,0
221,CAPAZO,-69.745556,-17.186389,0.179158901223564,0.255316213695826,ns,Ci,0.547106172205342,A,1,0
72,PUNO,-70.018056,-15.823333,-0.142440215529945,0.374326414108036,ns,C_Ei,0.510445110147321,A,-1,0
52,PAMPAHUTA,-70.6775,-15.491389,0.143768641322685,0.357695874292738,ns,C_Ei,0.510445110147321,A,1,0
112,CHUQUIBAMBILLA,-70.728333,-14.796389,0.297687130296723,0.0656880491794571,ns,C_Ei,0.45406964960198,A,1,0
172,LAMPA,-70.372778,-15.355833,-0.0358966048132242,0.821054286157801,ns,C_Ei,0.821054286157801,A,-1,0
102,CABANILLAS,-70.346389,-15.6393,-0.151923585263257,0.330784871612837,ns,C_Ei,0.510445110147321,A,-1,0
162,HUANCANE,-69.7625,-15.203333,0.253869969764031,0.100441031341683,ns,C_Ei,0.45406964960198,A,1,0
25,HUARAYA MOHO,-69.491389,-15.389722,0.164474257963598,0.304138341570926,ns,C_Ei,0.510445110147321,A,1,0
152,CAPACHICA,-69.8443,-15.6158,0.240649635891888,0.151356549867327,ns,C_Ei,0.45406964960198,A,1,0
212,TARACO,-69.9825,-15.305,0.232752613240418,0.142779645765247,ns,C_Ei,0.45406964960198,A,1,0
232,MAZO CRUZ,-69.711667,-16.745556,-0.158206387165514,0.336084865638353,ns,C_Ei,0.510445110147321,A,-1,0
18,DESAGUADERO,-69.0404,-16.5688,0.126849894291755,0.416301352949371,ns,C_Ei,0.520376691186713,A,1,0
42,LARAQUERI,-70.067778,-16.1525,0.0461692582867491,0.774389542900458,ns,C_Ei,0.821054286157801,A,1,0
142,PUTINA,-69.868028,-14.914889,0.0466898954703833,0.771320381911627,ns,C_Ei,0.821054286157801,A,1,0
122,ICHUÑA,-70.53725,-16.14075,0.167080447913179,0.296432853396502,ns,C_Ei,0.510445110147321,A,1,0
222,CAPAZO,-69.745556,-17.186389,0.375577343813305,0.0147463135704501,s,C_Ei,0.221194703556751,A,1,11
73,PUNO,-70.018056,-15.823333,-0.173803198765896,0.277140917787918,ns,MEi,0.593873395259825,A,-1,0
53,PAMPAHUTA,-70.6775,-15.491389,-0.337146524950518,0.0270463848590587,s,MEi,0.136696863952375,A,-1,-11
113,CHUQUIBAMBILLA,-70.728333,-14.796389,0.105369705079527,0.523209952184443,ns,MEi,0.736491907250506,A,1,0
173,LAMPA,-70.372778,-15.355833,0.0850012154606596,0.591339263480341,ns,MEi,0.736491907250506,A,1,0
103,CABANILLAS,-70.346389,-15.6393,-0.336542455028994,0.027339372790475,s,MEi,0.136696863952375,A,-1,-11
163,HUANCANE,-69.7625,-15.203333,0.119836895305032,0.444014509459597,ns,MEi,0.736491907250506,A,1,0
26,HUARAYA MOHO,-69.491389,-15.389722,-0.301158638654744,0.0556959852207828,ns,MEi,0.173970467475053,A,-1,0
153,CAPACHICA,-69.8443,-15.6158,0.0799004209808536,0.638292986283772,ns,MEi,0.736491907250506,A,1,0
213,TARACO,-69.9825,-15.305,0.298954703832753,0.0579901558250177,ns,MEi,0.173970467475053,A,1,0
233,MAZO CRUZ,-69.711667,-16.745556,-0.270661471068833,0.095602687154797,ns,MEi,0.239006717886992,A,-1,0
19,DESAGUADERO,-69.0404,-16.5688,-0.139685895499849,0.370394169192299,ns,MEi,0.69448906723556,A,-1,0
43,LARAQUERI,-70.067778,-16.1525,-0.398449410195453,0.00987278284137401,s,MEi,0.136696863952375,A,-1,-11
143,PUTINA,-69.868028,-14.914889,0.0817073170731707,0.610424574438467,ns,MEi,0.736491907250506,A,1,0
123,ICHUÑA,-70.53725,-16.14075,-0.0222135110624925,0.890355753925572,ns,MEi,0.953952593491685,A,-1,0
223,CAPAZO,-69.745556,-17.186389,0.00332225913621262,0.98367261043538,ns,MEi,0.98367261043538,A,1,0
74,PUNO,-70.018056,-15.823333,0.142191243872671,0.375170604244145,ns,SOi,0.526373131483545,A,1,0
54,PAMPAHUTA,-70.6775,-15.491389,0.263092316593046,0.0882784602393406,ns,SOi,0.331044225897527,A,1,0
114,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.148193136957182,0.367938940201774,ns,SOi,0.526373131483545,A,-1,0
174,LAMPA,-70.372778,-15.355833,-0.144570502905818,0.361000438689695,ns,SOi,0.526373131483545,A,-1,0
104,CABANILLAS,-70.346389,-15.6393,0.279327921664086,0.0696779447186763,ns,SOi,0.331044225897527,A,1,0
164,HUANCANE,-69.7625,-15.203333,-0.17893822685395,0.25092899645803,ns,SOi,0.526373131483545,A,-1,0
27,HUARAYA MOHO,-69.491389,-15.389722,0.202038682697334,0.20523291843566,ns,SOi,0.526373131483545,A,1,0
154,CAPACHICA,-69.8443,-15.6158,-0.146778113957587,0.386006963087933,ns,SOi,0.526373131483545,A,-1,0
214,TARACO,-69.9825,-15.305,-0.402456553367511,0.00909062518283001,s,SOi,0.13635937774245,A,-1,-11
234,MAZO CRUZ,-69.711667,-16.745556,0.125221440662501,0.447516558714256,ns,SOi,0.55939569839282,A,1,0
110,DESAGUADERO,-69.0404,-16.5688,0.10103450908515,0.519149066934663,ns,SOi,0.591720092564868,A,1,0
44,LARAQUERI,-70.067778,-16.1525,0.301520233766044,0.0553883311190603,ns,SOi,0.331044225897527,A,1,0
144,PUTINA,-69.868028,-14.914889,-0.0955658162002471,0.552272086393877,ns,SOi,0.591720092564868,A,-1,0
124,ICHUÑA,-70.53725,-16.14075,-0.00818922333834386,0.959472308494466,ns,SOi,0.959472308494466,A,-1,0
224,CAPAZO,-69.745556,-17.186389,-0.152917342479417,0.333638014602768,ns,SOi,0.526373131483545,A,-1,0
75,PUNO,-70.018056,-15.823333,-0.218234091683493,0.170451860151519,ns,TNAi,0.36525398603897,A,-1,0
55,PAMPAHUTA,-70.6775,-15.491389,-0.127609770921921,0.414799230247867,ns,TNAi,0.591339263480342,A,-1,0
115,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.096563591398529,0.558689885909705,ns,TNAi,0.591339263480342,A,-1,0
175,LAMPA,-70.372778,-15.355833,-0.0850012154606596,0.591339263480342,ns,TNAi,0.591339263480342,A,-1,0
