,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
2252,CAPAZO,-69.745556,-17.186389,-0.32647273316587,0.0353549575693071,s,TNAi,0.203011857790514,noH,-1,-11
762,PUNO,-70.018056,-15.823333,0.165853658536585,0.298910803758309,ns,TSAi,0.685284294122426,noH,1,0
562,PAMPAHUTA,-70.6775,-15.491389,0.180465889055261,0.246839036569655,ns,TSAi,0.685284294122426,noH,1,0
1172,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0512145748987854,0.756184305102,ns,TSAi,0.809922978493333,noH,1,0
1762,LAMPA,-70.372778,-15.355833,0.0381654647111255,0.809922978493333,ns,TSAi,0.809922978493333,noH,1,0
1062,CABANILLAS,-70.346389,-15.6393,0.116509986113919,0.456856196081617,ns,TSAi,0.685284294122426,noH,1,0
1662,HUANCANE,-69.7625,-15.203333,0.076087837290333,0.630933035286438,ns,TSAi,0.788666294108048,noH,1,0
292,HUARAYA MOHO,-69.491389,-15.389722,0.147560975609756,0.355936404665572,ns,TSAi,0.685284294122426,noH,1,0
1562,CAPACHICA,-69.8443,-15.6158,-0.086533902323376,0.609374137498554,ns,TSAi,0.788666294108048,noH,-1,0
2162,TARACO,-69.9825,-15.305,0.241038372980065,0.128976095563128,ns,TSAi,0.685284294122426,noH,1,0
2362,MAZO CRUZ,-69.711667,-16.745556,0.124089068825911,0.450261679917948,ns,TSAi,0.685284294122426,noH,1,0
1182,DESAGUADERO,-69.0404,-16.5688,0.247357293868922,0.10973656551255,ns,TSAi,0.685284294122426,noH,1,0
462,LARAQUERI,-70.067778,-16.1525,0.126306620209059,0.42998151760632,ns,TSAi,0.685284294122426,noH,1,0
1462,PUTINA,-69.868028,-14.914889,0.184843205574913,0.246356862944803,ns,TSAi,0.685284294122426,noH,1,0
1262,ICHUÑA,-70.53725,-16.14075,0.0461672473867596,0.773816763001524,ns,TSAi,0.809922978493333,noH,1,0
2262,CAPAZO,-69.745556,-17.186389,-0.15290495097642,0.33247019473838,ns,TSAi,0.685284294122426,noH,-1,0
772,PUNO,-70.018056,-15.823333,-0.411672473867596,0.00791615614694277,s,TN_TSi,0.118742342204142,noH,-1,-11
572,PAMPAHUTA,-70.6775,-15.491389,-0.278702760043082,0.0703315442352377,ns,TN_TSi,0.175828860588094,noH,-1,0
1192,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.119635627530364,0.466789316862526,ns,TN_TSi,0.532441420512818,noH,-1,0
1772,LAMPA,-70.372778,-15.355833,-0.141074467223078,0.371569605459794,ns,TN_TSi,0.464462006824742,noH,-1,0
1072,CABANILLAS,-70.346389,-15.6393,-0.242307547271268,0.117459139450641,ns,TN_TSi,0.195765232417734,noH,-1,0
1672,HUANCANE,-69.7625,-15.203333,-0.171379953002188,0.276793316190611,ns,TN_TSi,0.377445431169014,noH,-1,0
2102,HUARAYA MOHO,-69.491389,-15.389722,-0.177700348432056,0.265333366543963,ns,TN_TSi,0.377445431169014,noH,-1,0
1572,CAPACHICA,-69.8443,-15.6158,-0.110004741583689,0.515493862355742,ns,TN_TSi,0.532441420512818,noH,-1,0
2172,TARACO,-69.9825,-15.305,-0.258896293638148,0.102157784632084,ns,TN_TSi,0.191545846185157,noH,-1,0
2372,MAZO CRUZ,-69.711667,-16.745556,-0.300404858299595,0.0635236109134978,ns,TN_TSi,0.175828860588094,noH,-1,0
1202,DESAGUADERO,-69.0404,-16.5688,-0.314104500151012,0.0407094934437156,s,TN_TSi,0.175828860588094,noH,-1,-11
472,LARAQUERI,-70.067778,-16.1525,-0.312717770034843,0.0469795912468453,s,TN_TSi,0.175828860588094,noH,-1,-11
1472,PUTINA,-69.868028,-14.914889,-0.286585365853659,0.0695777652149445,ns,TN_TSi,0.175828860588094,noH,-1,0
1272,ICHUÑA,-70.53725,-16.14075,-0.268466898954704,0.0897978508332845,ns,TN_TSi,0.191545846185157,noH,-1,0
2272,CAPAZO,-69.745556,-17.186389,-0.0987764362693461,0.532441420512818,ns,TN_TSi,0.532441420512818,noH,-1,0
782,PUNO,-70.018056,-15.823333,-0.185017421602788,0.245905868199378,ns,PDOi,0.653999069932336,noH,-1,0
582,PAMPAHUTA,-70.6775,-15.491389,-0.253633858299841,0.100768485583269,ns,PDOi,0.377881820937257,noH,-1,0
11102,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.140283400809717,0.392951837040113,ns,PDOi,0.654919728400189,noH,-1,0
1782,LAMPA,-70.372778,-15.355833,-0.0571266510007293,0.718550147114271,ns,PDOi,0.82909632359339,noH,-1,0
1082,CABANILLAS,-70.346389,-15.6393,-0.258013365230889,0.0948266487242071,ns,PDOi,0.377881820937257,noH,-1,0
1682,HUANCANE,-69.7625,-15.203333,0.167814601734057,0.287025494373011,ns,PDOi,0.653999069932336,noH,1,0
2182,HUARAYA MOHO,-69.491389,-15.389722,-0.0151567944250871,0.925147763613171,ns,PDOi,0.925147763613171,noH,-1,0
1582,CAPACHICA,-69.8443,-15.6158,0.0666192508297771,0.694326297988022,ns,PDOi,0.82909632359339,noH,1,0
2192,TARACO,-69.9825,-15.305,0.16411864643818,0.305199565968423,ns,PDOi,0.653999069932336,noH,1,0
2382,MAZO CRUZ,-69.711667,-16.745556,-0.412955465587045,0.00946327523978637,s,PDOi,0.141949128596796,noH,-1,-11
1282,DESAGUADERO,-69.0404,-16.5688,-0.0404711567502265,0.796167350893726,ns,PDOi,0.853036447386135,noH,-1,0
482,LARAQUERI,-70.067778,-16.1525,-0.09198606271777,0.566091113286024,ns,PDOi,0.801539376315288,noH,-1,0
1482,PUTINA,-69.868028,-14.914889,0.142508710801394,0.372787934561522,ns,PDOi,0.654919728400189,noH,1,0
1292,ICHUÑA,-70.53725,-16.14075,-0.343728222996516,0.0283243675573581,s,PDOi,0.212432756680186,noH,-1,-11
2282,CAPAZO,-69.745556,-17.186389,-0.0858115225670529,0.587795542631211,ns,PDOi,0.801539376315288,noH,-1,0
713,PUNO,-70.018056,-15.823333,-0.0872822299651568,0.586192851133745,ns,Ei,0.628063769071869,V,-1,0
513,PAMPAHUTA,-70.6775,-15.491389,-0.161815230228211,0.299886043084678,ns,Ei,0.420195243377828,V,-1,0
1115,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.326720647773279,0.0428731785170261,s,Ei,0.160774419438848,V,-1,-11
1713,LAMPA,-70.372778,-15.355833,0.051940685519812,0.743214600257678,ns,Ei,0.743214600257678,V,1,0
1013,CABANILLAS,-70.346389,-15.6393,-0.229999622620219,0.137878088682526,ns,Ei,0.36160306083401,V,-1,0
1613,HUANCANE,-69.7625,-15.203333,-0.22210517786241,0.15705812967737,ns,Ei,0.36160306083401,V,-1,0
240,HUARAYA MOHO,-69.491389,-15.389722,-0.323519163763066,0.0395876399431727,s,Ei,0.160774419438848,V,-1,-11
1513,CAPACHICA,-69.8443,-15.6158,-0.213371266002845,0.204057618540616,ns,Ei,0.36160306083401,V,-1,0
2114,TARACO,-69.9825,-15.305,-0.148351409174214,0.35461629167437,ns,Ei,0.420195243377828,V,-1,0
2313,MAZO CRUZ,-69.711667,-16.745556,-0.165182186234818,0.313713414396344,ns,Ei,0.420195243377828,V,-1,0
134,DESAGUADERO,-69.0404,-16.5688,-0.141498036846874,0.364169210927451,ns,Ei,0.420195243377828,V,-1,0
413,LARAQUERI,-70.067778,-16.1525,-0.357491289198606,0.0222991752273213,s,Ei,0.160774419438848,V,-1,-11
1413,PUTINA,-69.868028,-14.914889,-0.209059233449477,0.188981498717649,ns,Ei,0.36160306083401,V,-1,0
1214,ICHUÑA,-70.53725,-16.14075,-0.196689895470383,0.216961836500406,ns,Ei,0.36160306083401,V,-1,0
2213,CAPAZO,-69.745556,-17.186389,-0.377684142289928,0.0141641949656225,s,Ei,0.160774419438848,V,-1,-11
714,PUNO,-70.018056,-15.823333,-0.467770034843206,0.00227244614591888,s,Ci,0.0170433460943916,V,-1,-11
514,PAMPAHUTA,-70.6775,-15.491389,-0.193075848667072,0.214795296758717,ns,Ci,0.363676750781326,V,-1,0
1116,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.113967611336032,0.488287822367789,ns,Ci,0.610359777959737,V,-1,0
1714,LAMPA,-70.372778,-15.355833,-0.0266591038003403,0.866714790477047,ns,Ci,0.866714790477047,V,-1,0
1014,CABANILLAS,-70.346389,-15.6393,-0.237626005379458,0.124937819056677,ns,Ci,0.312344547641693,V,-1,0
1614,HUANCANE,-69.7625,-15.203333,0.161494206304189,0.305766579583509,ns,Ci,0.458649869375264,V,1,0
243,HUARAYA MOHO,-69.491389,-15.389722,0.0451219512195122,0.778816324303422,ns,Ci,0.853268210570029,V,1,0
1514,CAPACHICA,-69.8443,-15.6158,-0.20697012802276,0.218206050468795,ns,Ci,0.363676750781326,V,-1,0
2115,TARACO,-69.9825,-15.305,0.134239296263925,0.402724165606065,ns,Ci,0.549169316735543,V,1,0
2314,MAZO CRUZ,-69.711667,-16.745556,-0.584412955465587,0.000125649950728555,s,Ci,0.00188474926092832,V,-1,-11
135,DESAGUADERO,-69.0404,-16.5688,-0.217909996979764,0.159979873921453,ns,Ci,0.342814015545972,V,-1,0
414,LARAQUERI,-70.067778,-16.1525,-0.407317073170732,0.00865376626540287,s,Ci,0.0324516234952607,V,-1,-11
1414,PUTINA,-69.868028,-14.914889,-0.0414634146341464,0.796383663198694,ns,Ci,0.853268210570029,V,-1,0
1215,ICHUÑA,-70.53725,-16.14075,-0.426655052264808,0.00577867492774201,s,Ci,0.02889337463871,V,-1,-11
2214,CAPAZO,-69.745556,-17.186389,-0.286119439267482,0.0665331200342981,ns,Ci,0.199599360102894,V,-1,0
723,PUNO,-70.018056,-15.823333,-0.289721254355401,0.0664788549542315,ns,C_Ei,0.332394274771158,V,-1,0
523,PAMPAHUTA,-70.6775,-15.491389,-0.0521765394716256,0.739671111511095,ns,C_Ei,0.997207629914547,V,-1,0
1123,CHUQUIBAMBILLA,-70.728333,-14.796389,0.10668016194332,0.516671180674872,ns,C_Ei,0.86111863445812,V,1,0
1723,LAMPA,-70.372778,-15.355833,-0.0133700672554898,0.933129444750431,ns,C_Ei,0.997207629914547,V,-1,0
1023,CABANILLAS,-70.346389,-15.6393,-0.0825310530282008,0.598788170091226,ns,C_Ei,0.898182255136838,V,-1,0
1623,HUANCANE,-69.7625,-15.203333,0.355481727574751,0.0214024224772062,s,C_Ei,0.160518168579046,V,1,11
253,HUARAYA MOHO,-69.491389,-15.389722,0.24616724738676,0.120669113462461,ns,C_Ei,0.391448347210574,V,1,0
1523,CAPACHICA,-69.8443,-15.6158,-0.000711237553342816,0.997207629914547,ns,C_Ei,0.997207629914547,V,-1,0
2123,TARACO,-69.9825,-15.305,0.225358247524188,0.156579338884229,ns,C_Ei,0.391448347210574,V,1,0
2323,MAZO CRUZ,-69.711667,-16.745556,-0.393522267206478,0.0137332769039335,s,C_Ei,0.160518168579046,V,-1,-11
183,DESAGUADERO,-69.0404,-16.5688,-0.0161582603443069,0.918109709493533,ns,C_Ei,0.997207629914547,V,-1,0
423,LARAQUERI,-70.067778,-16.1525,-0.120731707317073,0.450747626997579,ns,C_Ei,0.86111863445812,V,-1,0
1423,PUTINA,-69.868028,-14.914889,0.106794425087108,0.504996861161248,ns,C_Ei,0.86111863445812,V,1,0
