,NOMBRE,LONGITUD,LATITUD,var,cor,pvalue,p.value.FDR,type,names.modos,sign_cor,pval_NO_fdr,pval_fdr
1868,CAPACHICA,-69.8443,-15.6158,CWDm,0.0585655013007204,0.730614117527254,0.843016289454524,V,TN_TSi,1,0,0
1869,TARACO,-69.9825,-15.305,CWDm,0.0876421142649078,0.585836820501346,0.843016289454524,V,TN_TSi,1,0,0
1870,MAZO CRUZ,-69.711667,-16.745556,CWDm,0.0589128457315235,0.72165325092876,0.843016289454524,V,TN_TSi,1,0,0
1871,DESAGUADERO,-69.0404,-16.5688,CWDm,0.0117789187556629,0.940360458550964,0.96465537396446,V,TN_TSi,1,0,0
1872,LARAQUERI,-70.067778,-16.1525,CWDm,-0.172155430388348,0.281791522946191,0.833755752888252,V,TN_TSi,-1,0,0
1873,PUTINA,-69.868028,-14.914889,CWDm,0.206605101431323,0.194960991353698,0.833755752888252,V,TN_TSi,1,0,0
1874,ICHUÑA,-70.53725,-16.14075,CWDm,0.0792786520686542,0.622218134898584,0.843016289454524,V,TN_TSi,1,0,0
1875,CAPAZO,-69.745556,-17.186389,CWDm,0.00705024313498106,0.96465537396446,0.96465537396446,V,TN_TSi,1,0,0
1876,PUNO,-70.018056,-15.823333,CWDm,-0.0508799450135604,0.75206313904257,0.957989717641375,V,PDOi,-1,0,0
1877,PAMPAHUTA,-70.6775,-15.491389,CWDm,0.0901574357874398,0.565322535493302,0.957989717641375,V,PDOi,1,0,0
1878,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,0.246761133603239,0.129736902571997,0.782766769361019,V,PDOi,1,0,0
1879,LAMPA,-70.372778,-15.355833,CWDm,0.0381701044191412,0.810335971062943,0.957989717641375,V,PDOi,1,0,0
1880,CABANILLAS,-70.346389,-15.6393,CWDm,0.0527190356385501,0.737060435751289,0.957989717641375,V,PDOi,1,0,0
1881,HUANCANE,-69.7625,-15.203333,CWDm,0.089250980093833,0.574061175860015,0.957989717641375,V,PDOi,1,0,0
1882,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.00853658536585366,0.957989717641375,0.957989717641375,V,PDOi,-1,0,0
1883,CAPACHICA,-69.8443,-15.6158,CWDm,-0.0514522825192564,0.762323990885443,0.957989717641375,V,PDOi,-1,0,0
1884,TARACO,-69.9825,-15.305,CWDm,0.321383458770621,0.0404690439335802,0.607035659003702,V,PDOi,1,1,0
1885,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.231298715629779,0.156553353872204,0.782766769361019,V,PDOi,-1,0,0
1886,DESAGUADERO,-69.0404,-16.5688,CWDm,0.0291452733313198,0.852554738451063,0.957989717641375,V,PDOi,1,0,0
1887,LARAQUERI,-70.067778,-16.1525,CWDm,-0.11186618047502,0.4862210209265,0.957989717641375,V,PDOi,-1,0,0
1888,PUTINA,-69.868028,-14.914889,CWDm,-0.0133321722981833,0.934065335717014,0.957989717641375,V,PDOi,-1,0,0
1889,ICHUÑA,-70.53725,-16.14075,CWDm,-0.117436948339061,0.464629680511761,0.957989717641375,V,PDOi,-1,0,0
1890,CAPAZO,-69.745556,-17.186389,CWDm,0.0940032417997474,0.553757413449122,0.957989717641375,V,PDOi,1,0,0
1891,PUNO,-70.018056,-15.823333,CWDm,-0.0115002615441609,0.943109159721435,0.966642497536777,I,Ei,-1,0,0
1892,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.31411635919242,0.0402331790428857,0.301748842821643,I,Ei,-1,1,0
1893,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,-0.262550607287449,0.106377088395658,0.341087402889986,I,Ei,-1,0,0
1894,LAMPA,-70.372778,-15.355833,CWDm,-0.117670895152002,0.457987555511025,0.758992975890551,I,Ei,-1,0,0
1895,CABANILLAS,-70.346389,-15.6393,CWDm,-0.00657099727873045,0.966642497536777,0.966642497536777,I,Ei,-1,0,0
1896,HUANCANE,-69.7625,-15.203333,CWDm,-0.356517539012423,0.0204763647320789,0.301748842821643,I,Ei,-1,1,0
1897,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.21184668989547,0.183049992275791,0.392249983448124,I,Ei,-1,0,0
1898,CAPACHICA,-69.8443,-15.6158,CWDm,0.112863071332562,0.505995317260367,0.758992975890551,I,Ei,1,0,0
1899,TARACO,-69.9825,-15.305,CWDm,-0.221457509404966,0.164069362777145,0.392249983448124,I,Ei,-1,0,0
1900,MAZO CRUZ,-69.711667,-16.745556,CWDm,0.0439315722465313,0.790582298182173,0.912210344056353,I,Ei,1,0,0
1901,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.259287224403503,0.0932403104550828,0.341087402889986,I,Ei,-1,0,0
1902,LARAQUERI,-70.067778,-16.1525,CWDm,-0.149677646461125,0.350282265449711,0.656779247718208,I,Ei,-1,0,0
1903,PUTINA,-69.868028,-14.914889,CWDm,-0.089578255702826,0.577551860443658,0.787570718786806,I,Ei,-1,0,0
1904,ICHUÑA,-70.53725,-16.14075,CWDm,-0.0553208176523026,0.731196198235397,0.912210344056353,I,Ei,-1,0,0
1905,CAPAZO,-69.745556,-17.186389,CWDm,-0.2477309570533,0.113695800963328,0.341087402889986,I,Ei,-1,0,0
1906,PUNO,-70.018056,-15.823333,CWDm,0.0670848590076054,0.676869580175105,0.919972468741508,I,Ci,1,0,0
1907,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.284139389336797,0.0648068675978609,0.282900835623483,I,Ci,-1,0,0
1908,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,-0.224089068825911,0.1697516143957,0.509254843187101,I,Ci,-1,0,0
1909,LAMPA,-70.372778,-15.355833,CWDm,-0.0708294506631197,0.655788633946145,0.919972468741508,I,Ci,-1,0,0
1910,CABANILLAS,-70.346389,-15.6393,CWDm,-0.0157854992098237,0.919972468741508,0.919972468741508,I,Ci,-1,0,0
1911,HUANCANE,-69.7625,-15.203333,CWDm,-0.0210765257260641,0.894601509018673,0.919972468741508,I,Ci,-1,0,0
