,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,1.22470249124188,1,0.268439756591015,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
PAMPAHUTA,0.639236838768198,1,0.423987284054833,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
CHUQUIBAMBILLA,0.00664357780518511,1,0.935037847153398,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
LAMPA,0.0108582615870478,1,0.917008267071233,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
CABANILLAS,0.512550558050457,1,0.474036818648401,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
HUANCANE,0.689442582052334,1,0.406354043940761,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
HUARAYA MOHO,0.000350709245472056,1,0.985058703490438,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
CAPACHICA,1.0636110598023,1,0.30239302855478,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
TARACO,3.46671360784289,1,0.0626155970638187,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
MAZO CRUZ,0.501623221735481,1,0.478787759664165,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
DESAGUADERO,0.0833079712870299,1,0.772863614810948,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
LARAQUERI,0.554672180868048,1,0.456414902771664,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
PUTINA,0.42998676040496,1,0.511995444780913,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
ICHUÑA,0.0353177242898029,1,0.850931442961607,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
CAPAZO,5.16461426161343,1,0.023051576255088,Box-Ljung test,as.numeric(data.indices.wind$RX5day[, i])
